Class,Count_r0,Correct_r0,Accuracy_r0,Count_r1,Correct_r1,Accuracy_r1,Count_r2,Correct_r2,Accuracy_r2,Count_r3,Correct_r3,Accuracy_r3,Count_r4,Correct_r4,Accuracy_r4,Count_r5,Correct_r5,Accuracy_r5,Count_r6,Correct_r6,Accuracy_r6,Count_r7,Correct_r7,Accuracy_r7,Count_r8,Correct_r8,Accuracy_r8,Count_r9,Correct_r9,Accuracy_r9
alpine_sea_holly,10,10,1,10,10,1,10,9,0.9,10,10,1,10,9,0.9,10,10,1,10,9,0.9,10,10,1,10,9,0.9,10,10,1
anthurium,10,10,1,10,7,0.7,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
artichoke,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
arum_lily,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
azalea,10,6,0.6,10,5,0.5,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
ball_moss,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
balloon_flower,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
barberton_daisy,10,6,0.6,10,4,0.4,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
bearded_iris,10,8,0.8,10,10,1,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8,10,8,0.8
bee_balm,10,6,0.6,10,8,0.8,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6,10,6,0.6
bird_of_paradise,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
bishop_of_llandaf_dahlia,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
black-eyed_susan,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
blackberry_lily,10,9,0.9,10,8,0.8,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9,10,9,0.9
blanket_flower,10,7,0.7,10,6,0.6,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
bolero_deep_blue,10,7,0.7,10,4,0.4,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
bougainvillea,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
bromelia,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1,10,10,1
buttercup,10,7,0.7,10,10,1,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7,10,7,0.7
