,sepal length (cm),sepal width (cm),petal length (cm),petal width (cm)
17,5.1,3.5,1.4,0.3
50,7.0,3.2,4.7,1.4
54,6.5,2.8,4.6,1.5
7,5.0,3.4,1.5,0.2
32,5.2,4.1,1.5,0.1
113,5.7,2.5,5.0,2.0
147,6.5,3.0,5.2,2.0
64,5.6,2.9,3.6,1.3
103,6.3,2.9,5.6,1.8
71,6.1,2.8,4.0,1.3
90,5.5,2.6,4.4,1.2
36,5.5,3.5,1.3,0.2
55,5.7,2.8,4.5,1.3
112,6.8,3.0,5.5,2.1
94,5.6,2.7,4.2,1.3
5,5.4,3.9,1.7,0.4
39,5.1,3.4,1.5,0.2
70,5.9,3.2,4.8,1.8
86,6.7,3.1,4.7,1.5
101,5.8,2.7,5.1,1.9
68,6.2,2.2,4.5,1.5
122,7.7,2.8,6.7,2.0
52,6.9,3.1,4.9,1.5
33,5.5,4.2,1.4,0.2
51,6.4,3.2,4.5,1.5
26,5.0,3.4,1.6,0.4
149,5.9,3.0,5.1,1.8
104,6.5,3.0,5.8,2.2
56,6.3,3.3,4.7,1.6
126,6.2,2.8,4.8,1.8
63,6.1,2.9,4.7,1.4
58,6.6,2.9,4.6,1.3
144,6.7,3.3,5.7,2.5
75,6.6,3.0,4.4,1.4
62,6.0,2.2,4.0,1.0
21,5.1,3.7,1.5,0.4
139,6.9,3.1,5.4,2.1
61,5.9,3.0,4.2,1.5
23,5.1,3.3,1.7,0.5
47,4.6,3.2,1.4,0.2
141,6.9,3.1,5.1,2.3
9,4.9,3.1,1.5,0.1
19,5.1,3.8,1.5,0.3
77,6.7,3.0,5.0,1.7
40,5.0,3.5,1.3,0.3
74,6.4,2.9,4.3,1.3
106,4.9,2.5,4.5,1.7
45,4.8,3.0,1.4,0.3
92,5.8,2.6,4.0,1.2
37,4.9,3.6,1.4,0.1
78,6.0,2.9,4.5,1.5
14,5.8,4.0,1.2,0.2
30,4.8,3.1,1.6,0.2
28,5.2,3.4,1.4,0.2
123,6.3,2.7,4.9,1.8
22,4.6,3.6,1.0,0.2
119,6.0,2.2,5.0,1.5
16,5.4,3.9,1.3,0.4
4,5.0,3.6,1.4,0.2
81,5.5,2.4,3.7,1.0
2,4.7,3.2,1.3,0.2
134,6.1,2.6,5.6,1.4
0,5.1,3.5,1.4,0.2
132,6.4,2.8,5.6,2.2
38,4.4,3.0,1.3,0.2
142,5.8,2.7,5.1,1.9
34,4.9,3.1,1.5,0.2
99,5.7,2.8,4.1,1.3
145,6.7,3.0,5.2,2.3
131,7.9,3.8,6.4,2.0
109,7.2,3.6,6.1,2.5
67,5.8,2.7,4.1,1.0
146,6.3,2.5,5.0,1.9
140,6.7,3.1,5.6,2.4
143,6.8,3.2,5.9,2.3
96,5.7,2.9,4.2,1.3
59,5.2,2.7,3.9,1.4
117,7.7,3.8,6.7,2.2
43,5.0,3.5,1.6,0.6
85,6.0,3.4,4.5,1.6
111,6.4,2.7,5.3,1.9
35,5.0,3.2,1.2,0.2
8,4.4,2.9,1.4,0.2
100,6.3,3.3,6.0,2.5
89,5.5,2.5,4.0,1.3
125,7.2,3.2,6.0,1.8
44,5.1,3.8,1.9,0.4
49,5.0,3.3,1.4,0.2
137,6.4,3.1,5.5,1.8
130,7.4,2.8,6.1,1.9
57,4.9,2.4,3.3,1.0
110,6.5,3.2,5.1,2.0
42,4.4,3.2,1.3,0.2
88,5.6,3.0,4.1,1.3
107,7.3,2.9,6.3,1.8
41,4.5,2.3,1.3,0.3
118,7.7,2.6,6.9,2.3
79,5.7,2.6,3.5,1.0
69,5.6,2.5,3.9,1.1
83,6.0,2.7,5.1,1.6
6,4.6,3.4,1.4,0.3
98,5.1,2.5,3.0,1.1
84,5.4,3.0,4.5,1.5
24,4.8,3.4,1.9,0.2
93,5.0,2.3,3.3,1.0
3,4.6,3.1,1.5,0.2
115,6.4,3.2,5.3,2.3
95,5.7,3.0,4.2,1.2
13,4.3,3.0,1.1,0.1
72,6.3,2.5,4.9,1.5
10,5.4,3.7,1.5,0.2
148,6.2,3.4,5.4,2.3
1,4.9,3.0,1.4,0.2
46,5.1,3.8,1.6,0.2
138,6.0,3.0,4.8,1.8
11,4.8,3.4,1.6,0.2
66,5.6,3.0,4.5,1.5
129,7.2,3.0,5.8,1.6
97,6.2,2.9,4.3,1.3
53,5.5,2.3,4.0,1.3
