,Group,Count,Common Name,Other Name,Risk,Kingdom,Phylum,Class,Phylum.1,Clade1,Clade2,Clade3,Order,Family,Subfamily,Genus
0,73,40,primrose,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,Asterids,Ericales,Primulaceae,,Primula
1,22,40,canterbury_bells,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,Asterids,Asterales,Campanulaceae,,Campanula
2,63,40,moon_orchid,,,Plantae,,,Tracheophytes,Angiosperms,Monocots,,Asparagales,Orchidaceae,Epidendroideae,Phalaenopsis
3,37,40,fire_lily,,,Plantae,,,Tracheophytes,Angiosperms,Monocots,,Liliales,Colchicaceae,,Gloriosa
4,75,40,prince_of_wales_feather,,G4,Plantae,,,Tracheophytes,Angiosperms,Eudicots,,Caryophyllales,Amaranthaceae,,Amaranthus
5,60,40,mexican_aster,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,Asterids,Asterales,Asteraceae,,Cosmos
6,15,40,bolero_deep_blue,texas bluebell,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,Asterids,Gentianales,Gentianaceae,,Eustoma
7,45,41,globe_flower,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,,Ranunculales,Ranunculaceae,Ranunculoideae,Trollus
8,47,41,grape_hyacinth,,,Plantae,,,Tracheophytes,Angiosperms,Monocots,,Asparagales,Asparagaceae,Scilloideae,Muscari
9,31,41,corn_poppy,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,,Ranunculales,Papaveraceae,,Papaver
10,79,41,siam_tulip,,NT,Plantae,,,Tracheophytes,Angiosperms,Monocots,Commelinids,Zingiberales,Zingiberaceae,,Curcuma
11,92,41,toad_lily,,,Plantae,,,Tracheophytes,Angiosperms,Monstemless_gentianocots,,Liliales,Liliaceae,Calochortoideae,Tricyrtis
12,77,42,red_ginger,,,Plantae,,,Tracheophytes,Angiosperms,Monocots,Commelinids,Zingiberales,Zingiberaceae,,Alpinia
13,83,42,spring_crocus,,,Plantae,,,Tracheophytes,Angiosperms,Monocots,,Asparagales,Iridaceae,,Crocus
14,0,43,alpine_sea_holly,,NT,Plantae,,,Tracheophytes,Angiosperms,Eudicots,Asterids,Apiales,Apiaceae,,Eryngium
15,90,45,tiger_lily,,,Plantae,,,Tracheophytes,Angiosperms,Monocots,,Liliales,Liliaceae,Liliodeae,Lilium
16,46,45,globe_thistle,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,Asterids,Asterales,Asteraceae,Carduoideae,Echinops
17,41,45,garden_phlox,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,Asterids,Ericales,Polemoniaceae,,Phlox
18,62,46,monkshood,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,,Ranunculales,Ranunculaceae,,Aconitum
19,56,46,love_in_the_mist,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,,Ranunculales,Ranunculaceae,,Nigella
20,5,46,ball_moss,,,Plantae,,,Tracheophytes,Angiosperms,Monocots,Commelinids,Poales,Bromeliaceae,,Tillandsia
21,82,48,spear_thistle,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,Asterids,Asterales,Asteraceae,,Cirsium
22,13,48,blackberry_lily,,,Plantae,,,Tracheophytes,Angiosperms,Monocots,,Asparagales,Iridaceae,,Iris
23,53,49,king_protea,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,,Proteales,Proteaceae,,Protea
24,101,49,yellow_iris,,,Plantae,,,Tracheophytes,Angiosperms,Monocots,,Asparagales,Iridaceae,,Iris
25,6,49,balloon_flower,,,Plantae,,,Tracheophytes,Angiosperms,Eudicots,Asterids,Asterales,Campanulaceae,Campanuloideae,Platycodon
